schema_version,graph_type,size,param,trials,seed,enforce_connected,max_retries,ba_initial_clique,road_cross_edge_rate,road_branch_min,road_branch_max,dijkstra_ms,dijkstra_fib_ms,bmssp_ms,bmssp_vs_binary_speedup,bmssp_vs_fib_speedup,fib_vs_binary_speedup,match_binary_fib,match_binary_bmssp,match_fib_bmssp,reachable,avg_distance,max_distance,graph_avg_degree,graph_degree_stddev,graph_degree_gini,graph_max_degree,graph_component_count,graph_giant_component_fraction,graph_source_reachable_fraction,graph_avg_distance_hops_unweighted,graph_approx_diameter_hops,graph_avg_clustering_coefficient,graph_edge_weight_mean,graph_edge_weight_stddev,bmssp_id_prep_ms,bmssp_cd_prep_ms,bmssp_cd_internal_vertices,bmssp_cd_internal_edges,bmssp_cd_vertex_blowup,bmssp_cd_edge_blowup,bmssp_cd_vs_identity_ratio,binpq_push_count,binpq_pop_count,binpq_stale_pop_count,binpq_relax_attempt_count,binpq_relax_success_count,fib_insert_count,fib_extract_count,fib_decrease_key_count,fib_relax_attempt_count,fib_relax_success_count,bmssp_calls_total,bmssp_max_level,bmssp_find_pivots_calls,bmssp_mean_pivot_ratio,bmssp_mean_frontier_expansion,bmssp_pull_count,bmssp_pull_mean_batch,bmssp_queue_insert_count,bmssp_queue_erase_count,bmssp_queue_batchprepend_count,warmup_runs,order_randomized,dijkstra_median_ms,dijkstra_std_ms,dijkstra_p95_ms,dijkstra_fib_median_ms,dijkstra_fib_std_ms,dijkstra_fib_p95_ms,bmssp_median_ms,bmssp_std_ms,bmssp_p95_ms,bmssp_total_with_cd_ms,bmssp_total_with_cd_median_ms,bmssp_total_with_cd_std_ms,bmssp_total_with_cd_p95_ms,match_count_binary_fib,match_count_binary_bmssp,match_count_fib_bmssp
2,random,100000,4,5,42,1,20,0,0.1,1,3,26.8128,77.8052,125.35,0.213977,0.620933,0.345281,YES,YES,YES,100000,385.312,569.433,3.99434,0.0926409,0.00141292,4,1,1,1,9.83405,13,1.50026e-05,50.5034,28.5799,7.5042,131.967,399435,798867,3.99435,2,17.5858,130415,130415,30415.2,399434,130414,100000,100000,30415.2,399434,130414,798.6,3,311.8,0.0250573,1.05458,797.6,131.68,131730,118476,797.6,1,1,26.807,0.411249,27.304,76.597,3.6793,84.032,124.16,2.08795,128.675,257.318,253.828,9.7612,270.323,5,5,5
2,random,100000,8,5,42,1,20,0,0.1,1,3,35.0312,85.1868,190.475,0.184179,0.448362,0.412107,YES,YES,YES,100000,169.594,254.063,7.99598,0.0880515,0.000502232,8,1,1,1,5.971,8,6.4319e-05,50.5032,28.5748,8.8682,319.888,799599,1.5992e+06,7.99599,2,36.0714,176835,176835,76835.2,799598,176834,100000,100000,76835.2,799598,176834,1593.4,3,239,0.066118,1.15501,1592.4,65.0883,173080,115206,1592.4,1,1,34.896,0.960178,36.211,83.657,5.45579,94.71,186.48,8.84896,205.457,510.363,505.087,11.4778,523.08,5,5,5
2,random,250000,4,5,42,1,20,0,0.1,1,3,74.34,229.896,426.56,0.17434,0.53904,0.323449,YES,YES,YES,250000,436.572,637.323,3.99442,0.091219,0.00139092,4,1,1,1,10.6786,15,1.46691e-05,50.4793,28.5882,23.442,428.867,998607,1.99721e+06,3.99443,2,18.2948,326054,326054,76054.2,998606,326053,250000,250000,76054.2,998606,326053,3036.8,3,349,0.143738,1.17086,3035.8,84.3516,328049,270401,3035.8,1,1,74.46,0.902737,75.566,231.713,3.09518,232.589,427.039,7.45171,433.869,855.427,858.761,12.6012,865.094,5,5,5
2,random,250000,8,5,42,1,20,0,0.1,1,3,100.605,263.079,556.695,0.180734,0.47261,0.382434,YES,YES,YES,250000,181.562,266.691,7.99602,0.0883101,0.000497069,8,1,1,1,6.44692,8,2.2981e-05,50.521,28.5785,23.4456,989.372,1.99901e+06,3.99801e+06,7.99602,2,42.1986,441985,441985,191985,1.999e+06,441984,250000,250000,191985,1.999e+06,441984,1128.8,3,268.2,0.100633,1.18069,1127.8,223.873,435659,263251,1127.8,1,1,101.445,2.26652,101.932,264.56,6.46083,268.444,561.101,14.3849,568.671,1546.07,1546.72,32.1064,1586.83,5,5,5
2,random,500000,4,5,42,1,20,0,0.1,1,3,154.069,542.72,1107.55,0.139128,0.490063,0.283882,YES,YES,YES,499993,449.303,629.91,3.99431,0.0933357,0.00141931,4,8.2,0.999986,0.999986,11.2967,15.8,4.00074e-06,50.5125,28.5788,55.1714,968.694,1.99716e+06,3.99431e+06,3.99431,2,17.5579,651566,651566,151573,1.99716e+06,651565,499993,499993,151573,1.99716e+06,651565,1327.6,3,609,0.0102505,1.02533,1326.6,391.829,656394,573343,1326.6,1,1,153.422,1.94964,157.504,543.383,2.53775,545.428,1107.64,10.3743,1116.83,2076.25,2068.46,20.9433,2107.96,5,5,5
2,random,500000,8,5,42,1,20,0,0.1,1,3,211.429,632.42,1465.67,0.144316,0.431524,0.334434,YES,YES,YES,500000,192.229,283.118,7.99612,0.0863986,0.000484085,8,1,1,1,6.7914,8.6,1.28314e-05,50.5009,28.5799,49.156,2189.56,3.99806e+06,7.99612e+06,7.99612,2,44.5431,884334,884334,384334,3.99806e+06,884333,500000,500000,384334,3.99806e+06,884333,3203.2,3,453,0.0358651,1.0826,3202.2,160.216,865517,556774,3202.2,1,1,211.312,3.02942,214.46,635.201,12.1061,643.246,1474.48,30.2881,1490.45,3655.23,3665.82,52.2588,3698.73,5,5,5
2,random,1000000,4,5,42,1,20,0,0.1,1,3,338.044,1279.98,2449.3,0.138015,0.522548,0.264128,YES,YES,YES,999986,469.211,667.215,3.99435,0.0923295,0.00141046,4,14.6,0.999986,0.999986,11.9275,15.6,1.90032e-06,50.4911,28.5767,121.411,2053.81,3.99435e+06,7.98869e+06,3.99435,2,16.9162,1.30328e+06,1.30328e+06,303291,3.99435e+06,1.30328e+06,999986,999986,303291,3.99435e+06,1.30328e+06,6541.4,3,616.4,0.0634987,1.0786,6540.4,156.318,1.30917e+06,1.07668e+06,6540.4,1,1,338.084,7.22847,344.695,1291.58,31.6794,1310.82,2461.72,40.7875,2492.07,4503.11,4544.91,72.1775,4570.39,5,5,5
2,random,1000000,8,5,42,1,20,0,0.1,1,3,463.235,1508.48,3202.92,0.144633,0.47098,0.307096,YES,YES,YES,1e+06,212.012,305.234,7.99603,0.0871751,0.000495206,8,1,1,1,7.16431,9,6.44571e-06,50.4966,28.5752,107.149,4670.13,7.99603e+06,1.59921e+07,7.99603,2,43.5855,1.76882e+06,1.76882e+06,768823,7.99603e+06,1.76882e+06,1e+06,1e+06,768823,7.99603e+06,1.76882e+06,2608.4,3,459.8,0.0591796,1.10528,2607.4,387.117,1.74307e+06,1.05155e+06,2607.4,1,1,460.921,7.9671,476.899,1505.32,13.2658,1530.49,3198.69,9.37219,3216.11,7873.05,7868.64,33.2752,7926.12,5,5,5
2,erdos_renyi,100000,4,5,42,1,20,0,0.1,1,3,26.0224,72.8822,135.007,0.193006,0.540458,0.357059,YES,YES,YES,98042,304.238,596.776,4,1.99532,0.276956,15.6,1882.2,0.98042,0.98042,8.3168,16.8,2.67351e-05,50.5048,28.584,11.1434,140.909,400001,800000,4.00001,2,12.6451,128960,128960,30918.4,399846,128959,98042,98042,30918.4,399846,128959,890.4,3,290.6,0.027078,1.05874,889.4,115.21,129656,115427,889.4,1,1,25.913,0.254307,26.319,72.646,0.438617,73.569,133.988,5.52549,144.193,275.916,273.991,4.29448,283.503,5,5,5
2,erdos_renyi,100000,8,5,42,1,20,0,0.1,1,3,35.5312,85.7506,206.042,0.172448,0.416182,0.414382,YES,YES,YES,99965.6,157.173,295.664,8,2.82594,0.197742,23,35.4,0.999656,0.999656,5.75257,9.6,8.24489e-05,50.498,28.5727,14.4538,333.668,800001,1.6e+06,8.00001,2,23.0851,177490,177490,77524.4,800000,177489,99965.6,99965.6,77524.4,800000,177489,1720.4,3,231.4,0.0743608,1.16892,1719.4,60.3294,173580,114951,1719.4,1,1,35.633,0.39984,35.923,85.74,0.577488,86.608,206.233,0.661556,206.933,539.709,538.688,2.97164,544.579,5,5,5
